0.435,0.771,3
0.008,0.708,3
0.505,0.019,0
0.258,0.545,3
0.423,0.087,0
0.499,0.715,0
0.952,0.608,0
0.06,0.688,3
0.051,0.773,3
0.006,0.753,3
0.434,0.791,3
0.211,0.446,1
0.273,0.426,1
0.087,0.719,3
0.464,0.089,0
0.443,0.781,3
0.979,0.521,0
1.039,0.565,0
0.01,0.801,3
0.54,0.083,0
0.964,0.52,0
0.306,0.506,0
0.279,0.47,1
0.186,0.582,3
1.068,0.573,0
0.48,0.08,0
0.465,0.759,0
0.52,0.117,0
0.11,0.773,3
0.929,0.546,0
0.307,0.522,0
0.142,0.786,3
0.074,0.722,3
0.391,0.681,3
0.493,0.1,0
0.502,0,0
0.312,0.468,0
0.951,0.536,0
0.215,0.526,1
0.994,0.481,0
0.433,0.711,0
0.476,0.058,0
0.381,0.744,3
0.431,0.7,0
0.515,0.733,0
0.201,0.54,1
0.236,0.508,1
0.423,0.688,0
0.431,0.652,0
0.28,0.549,3
0.966,0.55,0
0.545,0.141,0
0.118,0.763,3
0.099,0.75,3
0.49,0.011,0
0.147,0.767,3
0.473,0.092,0
0.265,0.538,3
0.576,0.012,0
0.214,0.529,1
0.426,0.676,0
0.442,0.734,0
0.977,0.535,0
0.997,0.516,0
1.035,0.545,0
0.498,0.712,0
0.449,0.702,0
1.02,0.561,0
0.117,0.804,3
0.549,0.111,0
0.962,0.505,0
0.426,0.775,3
0.097,0.769,3
0.975,0.57,0
0.061,0.861,3
0.098,0.785,3
0.48,0.027,0
0.451,0.051,0
0.439,0.102,0
0.458,0.001,0
0.231,0.495,1
1,0.566,0
0.226,0.467,1
0.452,0.753,0
0.424,0.647,0
0.047,0.823,3
0.254,0.531,3
1.003,0.544,0
0.192,0.525,1
1.047,0.52,0
0.092,0.87,3
0.028,0.838,3
0.943,0.553,0
0.28,0.532,3
0.455,0.687,0
0.067,0.722,3
0.473,0.095,0
0.998,0.553,0
0.49,0.039,0
0.249,0.515,1
