0.435,0.771,0
0.008,0.708,0
0.505,0.019,4
0.258,0.545,0
0.423,0.087,4
0.499,0.715,0
0.952,0.608,3
0.06,0.688,0
0.051,0.773,0
0.006,0.753,0
0.434,0.791,0
0.211,0.446,0
0.273,0.426,0
0.087,0.719,0
0.464,0.089,4
0.443,0.781,0
0.979,0.521,3
1.039,0.565,2
0.01,0.801,0
0.54,0.083,4
0.964,0.52,3
0.306,0.506,0
0.279,0.47,0
0.186,0.582,0
1.068,0.573,2
0.48,0.08,4
0.465,0.759,0
0.52,0.117,4
0.11,0.773,0
0.929,0.546,3
0.307,0.522,0
0.142,0.786,0
0.074,0.722,0
0.391,0.681,0
0.493,0.1,4
0.502,0,4
0.312,0.468,0
0.951,0.536,3
0.215,0.526,0
0.994,0.481,3
0.433,0.711,0
0.476,0.058,4
0.381,0.744,0
0.431,0.7,0
0.515,0.733,0
0.201,0.54,0
0.236,0.508,0
0.423,0.688,0
0.431,0.652,0
0.28,0.549,0
0.966,0.55,3
0.545,0.141,4
0.118,0.763,0
0.099,0.75,0
0.49,0.011,4
0.147,0.767,0
0.473,0.092,4
0.265,0.538,0
0.576,0.012,4
0.214,0.529,0
0.426,0.676,0
0.442,0.734,0
0.977,0.535,3
0.997,0.516,3
1.035,0.545,2
0.498,0.712,0
0.449,0.702,0
1.02,0.561,2
0.117,0.804,0
0.549,0.111,4
0.962,0.505,3
0.426,0.775,0
0.097,0.769,0
0.975,0.57,3
0.061,0.861,0
0.098,0.785,0
0.48,0.027,4
0.451,0.051,4
0.439,0.102,4
0.458,0.001,4
0.231,0.495,0
1,0.566,3
0.226,0.467,0
0.452,0.753,0
0.424,0.647,0
0.047,0.823,0
0.254,0.531,0
1.003,0.544,3
0.192,0.525,0
1.047,0.52,2
0.092,0.87,0
0.028,0.838,0
0.943,0.553,3
0.28,0.532,0
0.455,0.687,0
0.067,0.722,0
0.473,0.095,4
0.998,0.553,3
0.49,0.039,4
0.249,0.515,0
