0.438,0.711
0.058,0.830
0.247,0.483
0.929,0.568
0.130,0.702
0.484,0.069
0.300,0.508
0.045,0.741
0.235,0.496
0.069,0.762
0.470,0.062
0.475,0.734
0.408,0.749
0.443,0.769
0.410,0.129
0.058,0.792
0.466,0.069
0.512,0.000
0.400,0.736
0.201,0.565
0.965,0.530
0.991,0.449
0.245,0.482
0.202,0.428
0.999,0.533
0.189,0.444
0.435,0.779
0.062,0.800
0.387,0.706
0.474,0.037
0.094,0.805
0.317,0.535
0.158,0.549
0.434,0.083
0.932,0.494
0.502,0.752
0.052,0.810
0.103,0.827
0.256,0.586
0.099,0.799
0.501,0.013
0.285,0.539
0.529,0.067
0.284,0.516
0.944,0.546
1.007,0.575
0.157,0.793
0.919,0.541
0.030,0.803
0.490,0.105
0.109,0.771
0.105,0.837
0.498,0.658
0.444,0.079
0.415,0.685
0.445,0.045
0.233,0.551
0.961,0.500
0.419,0.805
0.508,0.100
0.951,0.564
0.390,0.676
1.029,0.493
0.361,0.468
0.341,0.449
0.560,0.072
0.956,0.519
0.262,0.493
0.426,0.695
0.330,0.519
0.022,0.752
0.038,0.785
0.918,0.508
0.466,0.095
0.288,0.469
0.002,0.824
0.552,0.057
1.047,0.477
0.418,0.649
0.442,0.085
0.443,0.044
0.423,0.737
0.076,0.765
0.255,0.495
0.432,0.751
0.051,0.777
0.520,0.739
0.317,0.464
0.434,0.730
0.431,0.747
0.452,0.738
0.253,0.476
0.250,0.574
0.364,0.809
0.405,0.713
0.222,0.554
0.536,0.141
0.559,0.714
0.068,0.792
0.337,0.554
1.015,0.469
0.144,0.866
0.527,0.041
0.411,0.712
0.083,0.765
0.099,0.766
0.458,0.711
0.080,0.817
0.897,0.469
0.585,0.077
0.138,0.748
0.460,0.697
0.488,0.052
0.096,0.801
0.448,0.700
0.282,0.524
0.117,0.812
0.005,0.756
0.112,0.847
0.539,0.060
0.445,0.710
0.257,0.443
1.051,0.528
0.071,0.774
0.916,0.501
0.296,0.478
0.983,0.573
1.019,0.490
0.400,0.658
0.065,0.749
0.389,0.711
0.398,0.703
0.502,0.067
0.489,0.062
0.460,0.068
0.993,0.561
0.347,0.739
0.546,0.050
0.896,0.576
0.363,0.748
0.501,0.776
0.938,0.565
0.462,0.078
0.057,0.781
0.249,0.485
0.410,0.701
0.086,0.792
1.057,0.537
0.223,0.526
0.471,0.131
0.314,0.503
0.973,0.570
0.517,0.677
0.478,0.043
0.243,0.537
0.421,0.748
1.031,0.566
0.481,0.111
0.460,0.668
0.385,0.713
0.291,0.540
0.169,0.461
0.968,0.492
0.963,0.496
0.479,0.023
0.416,0.684
0.400,0.673
0.052,0.806
0.444,0.119
0.514,0.066
0.358,0.722
0.289,0.541
0.239,0.450
1.028,0.551
0.493,0.078
0.902,0.588
0.552,0.018
0.121,0.777
0.057,0.829
0.418,0.062
0.451,0.713
0.967,0.516
1.001,0.545
0.500,0.151
0.482,0.704
0.511,0.060
0.981,0.532
1.021,0.582
0.224,0.511
0.462,0.057
0.426,0.697
0.388,0.798
1.064,0.475
0.926,0.595
0.951,0.566
0.051,0.749
0.535,0.096
0.504,0.152
0.959,0.575
0.436,0.787
0.109,0.797
0.950,0.493
